viaje_id,fecha_hora_inicio,fecha_hora_recepcion,unidad_id,estacion_origen_id,estacion_destino_id,lat_origen,lon_origen,tipo_servicio,pasajeros,ocupacion,fuente_registro,conductor_id
V0001,2026-09-03 06:00:00,2026-09-03 06:02:00,U01,E01,E04,19.48,-99.12,REGULAR,19,31,VALIDADOR,C001
V0002,2026-09-03 06:12:00,2026-09-03 06:15:00,U02,E02,E05,19.4325,-99.1332,REGULAR,26,42,INTEGRACION,C002
V0003,2026-09-03 06:24:00,2026-09-03 06:28:00,U03,E03,E06,19.41,-99.07,REGULAR,33,53,GPS_APP,C003
V0004,2026-09-03 06:36:00,2026-09-03 06:41:00,U04,E04,E07,19.35,-99.15,EXPRES,40,64,VALIDADOR,C004
V0005,2026-09-03 06:48:00,2026-09-03 06:54:00,U05,E05,E08,19.42,-99.21,REGULAR,47,75,,C005
V0006,2026-09-03 07:00:00,2026-09-03 07:07:00,U06,E06,E01,19.332,-99.187,REGULAR,54,86,GPS_APP,C006
V0007,,2026-09-03 07:13:00,U07,E07,E02,19.445,-99.105,REGULAR,61,21,VALIDADOR,C007
V0008,2026-09-03 07:24:00,2026-09-03 07:26:00,U08,E08,E03,19.5,-99.16,EXPRES,68,32,INTEGRACION,C008
V0009,2026-09-03 07:36:00,2026-09-03 07:39:00,U09,E01,E04,19.48,-99.12,Regular,17,43,GPS_APP,C009
V0010,2026-09-03 07:48:00,2026-09-03 07:52:00,U10,E02,E05,19.4325,-99.1332,REGULAR,24,54,VALIDADOR,C010
V0011,2026-09-03 08:00:00,2026-09-03 08:05:00,U11,E03,E06,19.41,-99.07,REGULAR,31,65,INTEGRACION,C011
V0011,2026-09-03 08:00:00,2026-09-03 08:05:00,U11,E03,E06,19.41,-99.07,REGULAR,31,65,INTEGRACION,C011
V0013,2026-09-03 08:24:00,2026-09-03 08:31:00,U01,E05,E08,19.42,-99.21,REGULAR,45,87,VALIDADOR,C013
V0014,03/09/2026 08:36:00,2026-09-03 08:37:00,U02,E06,E01,19.332,-99.187,REGULAR,52,22,INTEGRACION,C014
V0015,2026-09-03 08:48:00,2026-09-03 08:50:00,U03,E07,E02,19.445,-99.105,REGULAR,59,33,GPS_APP,C015
V0016,2026-09-03 09:00:00,2026-09-03 09:17:00,U04,E08,E03,19.5,-99.16,EXPRES,66,44,VALIDADOR,C016
V0017,2026-09-03 09:12:00,2026-09-03 09:16:00,U05,E01,E04,19.48,-99.12,REGULAR,15,55,INTEGRACION,C017
V0018,2026-09-03 09:24:00,2026-09-03 09:29:00,U06,E02,E05,19.4325,-99.1332,REGULAR,22,66,GPS_APP,C018
V0019,2026-09-03 09:36:00,2026-09-03 09:42:00,U99,E03,E06,19.41,-99.07,REGULAR,29,77,VALIDADOR,C001
V0020,2026-09-03 09:48:00,2026-09-03 09:55:00,U08,E04,E07,19.35,-99.15,EXPRES,36,88,INTEGRACION,C002
V0021,2026-09-03 10:00:00,2026-09-03 10:01:00,U09,E05,E08,19.42,-99.21,REGULAR,43,23,GPS_APP,C003
V0022,2026-09-03 10:12:00,2026-09-03 10:14:00,U10,E99,E01,19.332,-99.187,REGULAR,50,34,VALIDADOR,C004
V0023,2026-09-03 10:24:00,2026-09-03 10:27:00,U11,E07,E02,19.445,-99.105,REGULAR,57,45,INTEGRACION,C005
V0024,2026-09-03 10:36:00,2026-09-03 10:40:00,U12,E08,E03,19.445,-99.105,EXPRES,64,56,GPS_APP,C006
V0025,2026-09-03 10:48:00,2026-09-03 10:53:00,U01,E01,E04,19.48,-99.12,REGULAR,13,67,VALIDADOR,C007
V0025,2026-09-03 11:00:00,2026-09-03 11:06:00,U02,E02,E05,19.4325,-99.1332,REGULAR,20,78,INTEGRACION,C008
V0027,2026-09-03 11:12:00,2026-09-03 11:19:00,U03,E03,E06,19.41,-99.07,regular,27,89,GPS_APP,C009
V0028,2026-09-03 11:24:00,2026-09-03 11:25:00,U04,E04,E07,19.35,-99.15,EXPRES,34,24,VALIDADOR,C010
V0029,2026-09-03 11:36:00,2026-09-03 11:38:00,U05,E05,E08,19.42,-99.21,REGULAR,41,35,INTEGRACION,C011
